timestamp,model,latency,response_length
1767689426.4366238,Gemini,0.0,33
1767689427.2644083,LLaMA,0.827,310
1767689430.6808245,ChatGPT,4.246,317
1767689726.7849438,Gemini,0.0,33
1767689727.6278746,LLaMA,0.843,310
1767689762.1213675,ChatGPT,35.338,25
1767693935.5958776,Gemini,0.0,79
1767693937.0237966,LLaMA,1.427,310
1767693942.8870223,ChatGPT,7.311,317
